  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
6.2,1.7,0,3,974.95,-1.5,82.67,2.7,-5.1
5.1,1.4,0,7.5,980.43,-0.4,81.92,1.8,-1.8
6.7,2.8,1,8,977.4,-0.4,84.08,0.8,-1.7
8.2,3.5,1,7.7,978.41,0.1,90.25,1.8,-0.6
14.1,6,1,7.8,970.05,0.8,91,2.6,-0.8
10.6,4.4,1,4.9,976.87,0.2,76.67,3.3,-3.8
9.9,2.8,0,1.9,975.61,-0.9,69.92,3.7,-4.6
7.5,3.2,1,2,977.14,-1,66.79,4.4,-5.8
7.4,2.9,1,8,977.43,2.6,88.33,5,-0.4
6.7,2.1,1,6.1,986.35,4.2,80.08,8.5,-0.6
9.8,3.9,1,7,982.69,0.4,91.21,1.6,-3.3
7.7,2.5,0,2.3,987.11,-1.4,87.83,3.1,-5.1
6,1.3,0,7.5,980.99,-0.2,77.13,1.1,-1.1
8.2,2.4,0,6,978.25,-0.1,73.21,3,-2.7
12.2,5.2,0,2.6,981.23,0.4,64.92,4.7,-3.1
16.1,7.2,0,1.6,979,-1.1,60.13,2.8,-3.5
13.2,6.9,0,0.3,977.81,-1.8,56.13,1.8,-4.8
16.3,8.4,0,0.5,979.36,-1.5,51.71,4.3,-5.7
16.1,7,0,1.3,983.96,-4.1,44.46,-0.6,-7.2
14.9,6.7,1,2.5,983.71,-6.7,52.21,-3.6,-9.8
11.3,4,1,4.5,978.88,-8.2,57.96,-4.7,-11.4
18,7,0,2.8,975.46,-7.9,54.33,-3.2,-12.4
15.9,8,1,7.3,964.48,-4.2,48.5,-0.8,-7.9
14.9,5.6,1,7.9,957.95,-3.5,68.88,-1.9,-4.6
8.7,3.1,1,8,958.98,-1.3,94.42,1.3,-3.7
9.8,3.4,1,7.1,959.63,4.7,86.25,10.4,-0.7
9.3,3.4,0,5.5,957.66,6.5,76.58,12.3,2.6
6.2,2.7,1,6.2,954.73,4.8,83,10.1,1.5
14.9,4.8,1,6.7,959.99,3.9,88.46,6.8,0.2
15.9,6,1,6.8,967.25,5.3,79.54,11.2,1.5
7.2,2.3,1,8,969.9,6.4,89.42,9.9,3
9.3,3.5,1,6.9,966.26,10.4,85.04,11,9.5
11.3,2.7,1,7.6,959.76,9.8,89.54,11.5,6.6
15.3,5.3,1,7.3,959.21,8.9,86.08,11.6,7.3
15.3,6.4,1,7.8,968.34,5.9,89.29,7.7,4.7
9.8,3.1,0,3.1,972.42,6.4,73.54,11.2,1.7
10.3,4.1,1,6.7,960.22,5.1,83.5,7.2,2.4
9.8,3.5,1,5.1,963.8,6.8,85.58,11.9,2.1
14.9,6.7,1,7.5,962.12,-0.2,87.13,4.3,-3.7
13.7,7.1,1,7.8,965.23,-3.2,76.46,-2.1,-4.3
10.6,5,0,6.4,970.75,-1.3,67.29,3,-3.7
10.6,3.2,1,3,979.55,-1.3,67.29,3.6,-6.5
9.3,2.5,0,2.6,988.32,0.3,57.42,6.1,-5.3
8.2,2.7,1,6.5,980.85,-0.3,85.25,1.7,-3.6
6.9,2,1,7.6,970.46,3.2,92.96,5.7,0
8.7,3.8,0,2,963.61,4.6,74.04,11.3,-0.5
6.2,2.2,0,3.5,968.7,6.5,60.54,12.6,-1.3
8.4,1.5,1,6.6,976.4,6.3,68.79,12.7,2
14.9,4,1,7.5,975.03,5.2,82.5,10.3,1.8
17.1,6.2,1,7.7,967.2,7.4,85.83,9.6,4.6
8.9,3.7,1,6,969.57,5.4,73.63,9.8,2.8
11.8,3,1,6.9,964.07,5.3,83.92,10.8,0.2
11.1,1.9,1,6.5,963.07,5.8,79.29,12,0.7
13.9,5.5,1,7.4,972.19,5.7,80.67,8.3,2.7
12.3,3.1,1,6.2,970.9,8.2,64.54,13.4,0.2
13.5,5,1,7,966.97,13,50.5,17.8,9.8
14.1,4.3,1,7.2,967.15,10.1,79.92,12,7.6
16.1,5.7,1,6.3,976.67,7,79.42,9.7,1
12.3,5.2,0,1.1,980.19,8,65.04,15.1,0.7
13.2,3.9,1,1.8,974.2,13.9,51.29,22.8,4.1
8.2,3,0,4.2,969.91,16.6,48.58,24.3,9.4
9.1,3.7,1,6.3,966.88,13.6,67.5,18.4,10.3
11.3,2.5,1,7.3,967.36,9.4,89.83,13.6,4.2
10.3,2.7,0,2.3,967.67,10.6,68.88,17.6,1.9
11.1,4,0,5.3,962.8,12.5,68.75,18.2,7.9
9.3,2.7,1,5.7,971.57,9.9,77.75,13.3,6.3
9.6,1.8,1,5.4,980.15,13.2,64.17,18.7,7.5
7,1.7,0,6.8,975.85,13.7,72.88,18.6,9.8
9.3,2.2,0,3.2,978.13,12.5,67.67,19.2,6.5
6,1.3,0,3,987.21,13.9,61.13,21.8,4.7
11.1,3.8,0,3.1,991.29,17.2,51.96,24.6,9.7
11,3.1,0,0.8,988.61,18.8,48.63,26.6,10
5.7,2,0,2.5,985.2,19.4,47.67,27.7,12.4
6.2,1.4,0,1.9,981.65,19,56.54,26.8,10.1
10.8,3.4,1,4.4,977.26,19.4,57.58,26.1,11.2
11.8,3.6,1,6,979.01,15.6,76.33,20.1,8.7
10.5,2.9,0,6,980.06,13.4,72.58,19.1,7.9
13.7,5.2,1,4.7,976.48,12.2,80.46,16.9,8.2
12.7,4.3,0,3.9,980.83,8.7,70.46,14.1,5
