  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,  Bedeckungsgrad, Dampfdruck, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
8.1,3.2,0,0,5.7,16.2,981.43,21.1,67.13,28.4,14.6,13.1
8.6,2.5,1,0,6.2,16.9,980.3,20.7,69.58,25,16.3,13.1
9.8,2.6,1,0,6.7,17,978.6,20.7,71.71,28.2,15,12.5
9.1,2.9,1,0,5.3,16.8,977.2,17.8,83.17,21.9,13.9,10.6
12.2,2.3,1,0,3.1,15.8,977.27,20.7,68.54,28,13.3,10.4
14.4,2.8,1,0,5.5,17.4,977.78,19.6,78.33,25.9,14,14
10.3,3.4,1,0,6.5,17,980.95,16.7,89.67,21,13.1,11
5.7,1.8,0,0,4,15.7,981.94,17,82.38,22.3,12.5,10.2
7.2,2.3,0,0,2.7,14.7,979.7,19.6,67.29,25.9,11.5,8.6
8.7,3.5,1,0,5,16.1,974.11,22,61.88,27.5,15.6,13.4
9.6,4.1,0,0,2.7,16.4,973.35,22.1,62.88,27.3,16.8,15.8
8.9,3,1,0,4.6,17.1,974.97,21.2,68.75,27.4,16.3,15.6
5.8,1.6,1,0,7,17.9,977.88,18.6,84.5,23.9,15.8,15.3
8.2,1.6,1,0,6.3,19.1,975.74,20.1,82.29,25.7,15.2,13.3
8.1,1.6,1,0,6.2,19.1,975.47,19.2,86.58,26.7,15.1,12.8
6.5,1.6,1,0,5.7,18.7,974.7,20.2,80.29,27.2,14.5,14
9.8,2.3,1,0,6.4,19.1,972.86,18.8,88.63,25.6,15.3,13.7
11.7,3.5,1,0,7.5,16.1,972.89,15.6,90.46,18,13.6,13.4
7.7,2.9,0,0,7,11.6,977.97,13.9,73.71,15.6,11.3,10.5
9.1,1.8,1,0,6.9,12.1,979.42,15.3,71.46,20.6,10.3,8.8
4.1,1.1,0,0,7.1,15.1,979.7,16.9,79.71,20.8,13.5,10.9
9.3,2.1,0,0,5,15,978.65,19.3,69.04,25.1,13.4,10.7
10.3,2.9,0,0,5.7,13.3,981.65,16.4,72.04,20.7,11.4,8.9
7,2.4,0,0,5.6,14.2,985.2,17,73.5,21.1,11.6,9.2
5.7,1.9,0,0,4.3,15.9,987.02,17.7,79.21,22.9,12.3,9.4
13.2,4.7,0,0,3.3,13,981.8,17.8,63.21,22.5,8.7,6.5
11.3,3.5,0,0,2.8,9,988.12,11.9,65.46,17,6,3.2
7.2,2.3,0,0,1.8,13,985.3,18.3,64.5,25.4,9.7,6.9
9.9,4.1,0,0,1.8,12.4,984.29,19.7,56,25.5,13,11.2
12.5,4.4,0,0,3.8,12.6,981.98,20,54.75,26.2,13.6,12.1
11.7,3.7,0,0,3.6,15.1,978.75,22.4,56.71,27.6,16.9,12.9
7.9,3.7,0,0,0.3,14.3,976.33,23.2,51.54,29.3,16.9,14.4
11.1,5.7,0,0,0.5,9.5,976.82,20.6,39.92,26.4,14.6,13.4
12.5,4.9,0,0,0.5,9.6,976.61,20.7,40.21,27.1,14.1,13
8.6,3,0,0,3.4,10.6,978.55,21.5,42.5,27.8,15,11.8
11.8,2.5,1,0,6.1,16.2,977.85,19.9,70.63,28.6,14.5,11.7
9.3,2.2,1,0,6.9,18,977.83,17.4,90.38,21.1,14.1,12.6
7.7,2.2,1,0,4.8,16.6,982.04,19.6,75,25.2,14.3,12
7.5,2.4,0,0,4.5,14.9,984.87,20.4,64,26.4,13.8,11.2
7.5,2.5,0,0,0.8,11.7,984.83,19.9,52.79,26,12.3,9.1
8.1,2.4,0,0,3.3,12.5,983.28,19.3,57.54,25.2,11.7,8.2
9.8,3.3,0,0,5.3,12.2,980.2,16,67.5,18.9,13.7,11
8.2,2.4,1,0,4,12.2,979.61,15.6,70.38,20.9,10.8,8.8
