  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
10.6,4.1,0,0,7.3,11.2,983.6,13.6,72,17.2,10.9,9.8
12.4,2.9,1,0,7.3,12,978.8,13.5,77,17.7,10.5,8.9
19.7,7.4,1,0,5.7,13.3,968.8,14.2,80,17.5,11.5,11.5
12,4.4,1,0,7.7,13.1,969.4,12.2,91,15.5,10.5,9.4
13.1,3.3,1,0,6.3,12.4,972.7,12.3,85,16.6,11,11.1
7.2,1.8,1,0,4.7,11.2,975.8,12.9,76,17.4,9.3,7
8.1,3.1,1,0,7,13.2,978.3,13.8,83,19,7.6,4.8
9,2.6,1,0,5,13.2,985.1,13.3,85,19,10.6,8.8
4,0.9,0,0,0.3,12.1,988.3,15.8,70,21.8,7.8,6.2
8.6,3.2,0,0,0.7,13.5,983.4,18.8,64,24.4,10.3,8
13.1,4.6,0,0,3.7,17.6,972.4,18.9,76,28.5,13.9,14
11.4,4.3,1,0,7.3,15.6,969.4,14.7,93,19.3,14.1,14.1
9.4,3.4,0,0,5,11.5,977,13.2,75,18.1,11.4,13
9.7,2.9,1,0,5,12.3,973,15.8,69,20,8.7,6.4
11,3.7,1,0,5.3,12.7,973.8,14.5,74,19,11.7,14.6
6.3,1.5,0,0,2,10.9,978,13.6,71,18.8,7,5.6
10.3,2.4,0,0,5.3,12.3,974.4,15.9,68,21.2,10.5,9
13.2,3.5,1,0,4.7,13.6,970.3,17.7,68,23.5,11.8,9.1
12,4,1,0,6.3,16.5,967.8,17,86,19.5,14,13.1
13.7,4.7,1,0,6.3,13.7,972,15.9,76,20.2,12.9,12
7,1.8,1,0,7.3,15.5,973.5,16.5,82,20.3,12.5,9.4
9,2,0,0,4.3,11.6,976.3,14.5,70,19.5,12.6,12.4
6.2,2.3,1,0,7.3,12.5,970.6,12.8,85,15.5,8,4
6,1.9,1,0,5,11.6,968.6,11.4,85,15.5,10.1,10.6
14.6,5.3,1,0,7.7,12.9,962.6,12,92,14,9,5.9
