Wind_mittel,Sonnenscheindauer,Bedeckungsgrad,Luftdruck,Temp_mittel,relative_Feuchte,Niederschlagsform
3.7,1.5,5.9,978.53,15,84.63,1
1.9,0.017,6.9,981.72,16.8,85.58,1
3.3,10.767,2.1,979.03,21.2,60.33,1
5.3,1.483,6.2,976.6,15.9,70.96,1
3.3,4.15,7.1,984.05,12.1,68.54,1
6.3,0,7.6,976.83,13.9,91.13,1
3.1,9.733,3.3,985.56,13,70.42,1
2.5,11.083,0.8,979.23,11.2,62.88,1
3.3,2.983,5.4,981.1,8.7,75.08,1
4.6,0,6.8,985.23,7.2,86.21,1
3.2,3.95,5.8,987.76,11.3,87.21,1
2.9,5.383,4.2,974.33,15.2,71.08,1
2.3,6.05,3.7,977.07,14.9,76.33,1
4.4,0,7.8,987.38,10.7,89.5,1
3.4,0.817,7.2,982.49,11,85.21,1
4.3,0,7.3,973.41,8.4,82.17,1
3,1.333,7.4,970.9,5.8,75.63,1
6.6,0.083,7.8,970.16,4.6,77.67,1
5.8,0,8,960.07,4.3,87.04,1
7.7,0,6.5,959.32,3.8,88.71,1
3.4,0.067,5.3,975.04,5.6,82.92,1
2.7,2.05,6.8,974.64,7,88.21,1
3.8,3.567,6.3,974.1,12,71.75,1
3,1.7,7.2,981.66,9.6,82.46,1
2.5,0.2,6.5,976.34,10.8,79.88,1
4.6,0,7.8,970.2,12.2,82.63,1
4.4,4.8,5.6,973.38,12.3,80.79,1
3.8,1.417,7,978.34,14.6,76.75,1
3.7,2.117,5,988.7,9.2,90.33,1
2.5,8.667,3.9,990.2,6,91.29,1
3.8,0,8,988.12,4.4,99.63,1
5.9,0,5.7,974.43,0.9,77.08,1
4,5.85,3.8,978.19,1.7,85.92,1
3.5,0.217,7.4,973.78,5.4,91.71,1
3.3,0,7.4,970.25,5.4,93.38,1
3.4,0,8,970.81,4.5,85.71,1
1.4,0.15,7.8,980.45,3.3,88.83,1
2.8,0,7.7,983.47,4,92.92,1
3,0.183,7.1,978.92,5.9,85.79,1
3.6,0,7.8,976.65,7.4,87.42,1
4.4,0.783,7.8,977.53,6.8,89.46,1
7.5,0,8,968.85,8.9,96.63,1
7.3,0,7.8,968.55,11.2,94.17,1
3.8,1.283,5.5,981.72,6.3,88.71,1
2.4,0.467,7.5,984.62,4.5,93.92,1
4.5,0,8,981.32,9.2,96.5,1
8,0,8,975.01,9.1,86.75,1
9.1,0,8,972.52,6.4,87.08,1
9,0,7.5,969.36,6.8,86.29,1
4.9,2.85,4.5,984.23,4.1,83.88,1
4.1,0,7.9,981.43,-0.8,67.63,1
3.5,2.483,7.4,983.65,-1.8,69.83,1
2.4,0,8,975.06,0.3,96.54,1
2.9,0.133,7.3,983.27,3.6,96.04,1
3.1,6.35,7,983.98,3.8,84.13,1
3.4,0.033,7.8,976.67,6.4,87.88,1
5.6,0,7.5,977.99,5.7,92.71,1
9.2,0,7.8,974.1,7.6,94.38,1
7.2,0.1,7.6,979.69,9.1,91.75,1
6.1,0,7.6,982.51,8.8,94.58,1
3.8,1.1,5.5,989.31,5.1,82.08,1
1.2,0,6.3,993.69,-3.7,95.67,1
1.5,0,7.9,991.15,-2,97.21,1
2.4,0,8,994.76,-0.3,97.63,1
3.6,0,7.9,995.39,4.1,95.79,1
1.8,0,7.9,995.4,5.7,99.21,1
4.1,0,7.5,992.42,4.9,95.54,1
3.6,0.717,5.4,995.66,2,75.5,1
1.7,0,5.5,998.73,-0.7,90.92,1
2.2,3.017,6.1,997.51,0.5,87.92,1
4.3,0,8,993.19,2.2,95,1
3.3,0,7.8,993.95,2.9,91.54,1
3,0.017,7.8,993.75,2.8,89.5,1
6.4,0.75,7.4,981.4,4.3,89.17,1
4,2.017,6.4,978.75,1.7,84.71,1
2.4,0.267,7.3,985.48,0,75.21,1
2.8,0,7.9,987,-0.8,92.04,1
5.1,0,8,983.49,3.3,95.67,1
7.5,0,7.9,972.43,6.7,94.79,1
4.5,0.5,5.1,976.09,3.8,85.08,1
4,0,7.4,983.38,3.1,84.75,1
4.4,5.05,7.4,975.11,3.5,72.04,1
6.6,0.767,6.5,970.23,3.4,84.63,1
1.9,0,7.3,971.3,-4.1,85.63,1
3.1,0,8,960.66,-2.6,83.58,1
2.2,0.117,7.8,971.27,-3.6,71.75,1
3.7,0,8,977.65,-2.1,81.29,1
5.9,0,8,972.55,1.3,94.33,1
7.9,0,8,955.31,3.8,87.88,1
6.3,0,7.8,961.74,0.8,90.17,1
3.2,1.4,6.8,966.73,0.3,80.58,1
5.7,0,7.5,956.17,-0.8,86.54,1
3.4,1.833,7.4,957.37,-0.9,86.71,1
3,0,8,952.13,2,94.71,1
2,0.1,7.8,959.04,2.6,93.88,1
3.3,1.483,7,979.45,1.2,78.46,1
1.5,7.683,5,986.43,0.6,72.71,1
4.9,0.817,7.5,977.68,3.3,87.58,1
5.9,0,7.6,977.59,5,80.79,1
7.1,0.483,7.5,973.55,6.3,79.79,1
8.5,0,7.8,964.75,6.2,80.92,1
5.3,0.7,5.7,981.86,3.1,80.46,1
3.3,0.85,6,982.84,5.8,73.42,1
1.8,7.35,4.3,990.05,7.3,77.17,1
2.3,2.467,5.5,995.83,8.4,75.42,1
